Borough,Neighborhood,Latitude,Longitude
Auckland Central,Auckland CBD,-36.8729,174.7551
Auckland Central,Avondale,-36.8985,174.6967
Auckland Central,Balmoral,-36.883,174.748
Auckland Central,Blockhouse Bay,-36.9167,174.7089
Auckland Central,Eden Terrace,-36.8672,174.7586
Auckland Central,Ellerslie,-36.8965,174.8075
Auckland Central,Epsom,-36.8936,174.7743
Auckland Central,Freemans Bay,-36.8515,174.7488
Auckland Central,Glendowie,-36.8603,174.8693
Auckland Central,Glen Innes,-36.8779,174.8569
Auckland Central,Grafton,-36.8604,174.7669
Auckland Central,Greenlane,-36.8906,174.7943
Auckland Central,Grey Lynn,-36.8651,174.7375
Auckland Central,Herne Bay,-36.8483,174.7302
Auckland Central,Hillsborough,-36.9201,174.7574
Auckland Central,Kingsland,-36.8707,174.7469
Auckland Central,Kohimarama,-36.8505,174.8449
Auckland Central,Lynfield,-36.9286,174.7203
Auckland Central,Meadowbank,-36.8701,174.827
Auckland Central,Mission Bay,-36.8482,174.8318
Auckland Central,Morningside,-36.8766,174.7356
Auckland Central,Mount Albert,-36.8841,174.7156
Auckland Central,Mount Eden,-36.876,174.7509
Auckland Central,Mount Roskill,-36.9047,174.7417
Auckland Central,Mount Wellington,-36.9085,174.8387
Auckland Central,Newmarket,-36.8698,174.7776
Auckland Central,Newton,-36.8597,174.754
Auckland Central,New Windsor,-36.9071,174.7135
Auckland Central,Onehunga,-36.9228,174.7852
Auckland Central,One Tree Hill,-36.9052,174.7893
Auckland Central,Orakei,-36.8575,174.8102
Auckland Central,Otahuhu,-36.9406,174.8436
Auckland Central,Oranga,-36.9116,174.8026
Auckland Central,Owairaka,-36.8937,174.7201
Auckland Central,Panmure,-36.9016,174.8543
Auckland Central,Parnell,-36.859,174.7829
Auckland Central,Penrose,-36.9125,174.8139
Auckland Central,Point Chevalier,-36.8709,174.7098
Auckland Central,Ponsonby,-36.8488,174.7381
Auckland Central,Remuera,-36.8807,174.7981
Auckland Central,Royal Oak,-36.9118,174.7761
Auckland Central,Saint Heliers,-36.8513,174.8579
Auckland Central,Saint Johns,-36.8744,174.8305
Auckland Central,Saint Marys Bay,-36.8452,174.7483
Auckland Central,Sandringham,-36.8836,174.7389
Auckland Central,Tamaki,-36.8929,174.8607
Auckland Central,Te Papapa,-36.9183,174.8011
Auckland Central,Three Kings,-36.9094,174.7559
Auckland Central,Waikowhai,-36.9231,174.7428
Auckland Central,Waterview,-36.8797,174.7021
Auckland Central,Westfield,-36.9502,174.8501